,admission_year,matric_gpa,study_year,current_gpa,monthly_allowance,scholarship,study_hours,classes_missed,failed_modules,gender_Female,gender_Male,faculty_AgriSciences,faculty_Arts & Social Sciences,faculty_Economic & Management Sciences,faculty_Education,faculty_Engineering,faculty_Law,faculty_Medicine and Health Services,faculty_Science,faculty_Unknown,accommodation_Non-private accommodation ie. Res,accommodation_Private accommodation/ stay with family/friends
327,2024,-0.14184350960918202,2,-0.3691898721495422,6500.0,0,4.0,8.0,3.0,0,1,0,0,0,0,0,1,0,0,0,0,1
328,2024,0.7178996837423118,2,-0.615334641619724,5500.0,0,8.0,7.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,1
329,2024,-0.285134041834431,1,-0.9845517958249965,4500.0,0,4.0,7.0,2.0,0,1,0,0,0,0,0,0,0,1,0,1,0
330,2024,-0.14184350960918202,1,-0.615334641619724,6500.0,0,7.0,8.0,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1
331,2024,-0.285134041834431,2,-0.3691898721495422,5500.0,0,2.0,2.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
332,2024,-0.7150056385101778,0,-0.8614794110899057,4500.0,0,8.0,2.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1
333,2024,-0.5717151062849289,1,-1.2306965652951782,4500.0,1,8.0,2.0,1.0,0,1,0,0,1,0,0,0,0,0,0,1,0
334,2024,-1.4314582996364227,0,-1.47684133476536,8500.0,0,2.0,7.0,2.0,0,1,0,1,0,0,0,0,0,0,0,0,1
335,2024,-3.2942352185646593,1,-0.615334641619724,4500.0,0,7.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1
336,2024,0.2880280870665649,1,-0.7384070263548148,4500.0,1,2.0,7.0,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0
337,2024,-1.4314582996364227,0,-0.1230451026793605,4500.0,0,8.0,8.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,1
338,2024,-1.8613298963121696,1,1.7230406683470023,5500.0,0,0.0,8.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1
339,2024,-0.42842457405967993,2,1.7230406683470023,4500.0,0,7.0,2.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1
340,2024,-0.285134041834431,0,0.4923168209960938,5500.0,0,2.0,8.0,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1
341,2024,-1.0015867029606758,0,1.3538235141417299,5500.0,0,4.0,4.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,1
342,2024,1.0044807481928097,1,-0.7384070263548148,5500.0,0,8.0,7.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1
343,2024,0.0014470226160669506,5,-0.1230451026793605,5500.0,0,8.0,2.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1
344,2024,-1.1448772351859249,0,1.2307511294066389,4500.0,0,7.0,2.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,1
345,2024,-0.5717151062849289,1,0.4553951055755669,5500.0,0,7.0,8.0,2.0,1,0,0,0,0,0,0,0,1,0,0,0,1
346,2024,1.1477712804180586,1,2.3384025920224567,5500.0,0,0.0,4.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1
347,2024,0.7178996837423118,1,0.4923168209960938,7500.0,0,8.0,8.0,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1
348,2024,0.0014470226160669506,1,-0.3691898721495422,5500.0,0,8.0,7.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1
349,2024,0.7178996837423118,1,-0.3691898721495422,4500.0,0,2.0,4.0,1.0,0,1,0,0,1,0,0,0,0,0,0,1,0
350,2024,0.0014470226160669506,2,2.728205573035931e-05,5500.0,0,8.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1
351,2024,-0.285134041834431,5,-0.7384070263548148,7500.0,0,4.0,4.0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1
352,2024,1.1477712804180586,5,-0.1230451026793605,6500.0,0,4.0,8.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1
353,2024,0.0014470226160669506,0,2.3384025920224567,4500.0,0,2.0,7.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,1
354,2024,-0.42842457405967993,2,-0.8614794110899057,4500.0,0,4.0,4.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1
355,2024,1.2910618126433078,1,0.9846063599364572,4500.0,0,4.0,2.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0
356,2024,-0.14184350960918202,0,-0.24611748741445136,4500.0,0,0.0,2.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1
357,2024,1.0044807481928097,4,1.4768958988768206,6500.0,0,8.0,8.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,1
358,2024,-2.5777825574384146,1,-1.9691308737057234,4500.0,0,4.0,7.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,1
359,2024,0.2880280870665649,5,-0.1230451026793605,5500.0,0,4.0,2.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1
360,2024,-0.14184350960918202,5,-0.1230451026793605,6500.0,0,7.0,7.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1
361,2024,0.2880280870665649,1,-1.9691308737057234,5500.0,0,8.0,2.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,1
362,2024,0.2880280870665649,2,1.1076787446715481,6500.0,0,8.0,2.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,1
363,2024,-0.285134041834431,5,-0.1230451026793605,5500.0,0,4.0,4.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
364,2024,-0.42842457405967993,0,-0.3691898721495422,5500.0,0,4.0,4.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,1
365,2024,-1.4314582996364227,5,-0.1230451026793605,7500.0,0,4.0,8.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1
366,2024,-0.285134041834431,0,-1.2306965652951782,4500.0,0,2.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,1
367,2024,0.5746091515170628,5,-0.1230451026793605,5500.0,0,7.0,2.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1
